epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,49.0275,0.48082,0.68122,0.89037,0.85029,0.94444,0.95467,0.80521,0.72453,0.79829,1.08403,0.000233298,0.000233298,0.000233298
65,49.8264,0.55804,0.60566,0.89443,0.85029,0.94444,0.95467,0.80521,0.72453,0.79829,1.08403,0.000230605,0.000230605,0.000230605
66,50.576,0.49725,0.70744,0.88756,0.85029,0.94444,0.95467,0.80521,0.72453,0.79829,1.08403,0.000227711,0.000227711,0.000227711
67,51.3366,0.63023,0.74841,0.91148,0.85029,0.94444,0.95467,0.80521,0.72453,0.79829,1.08403,0.000224618,0.000224618,0.000224618
68,52.0724,0.43936,0.6175,0.85479,0.85029,0.94444,0.95467,0.80521,0.72453,0.79829,1.08403,0.000221324,0.000221324,0.000221324
69,52.8505,0.45906,0.75245,0.94558,0.85029,0.94444,0.95467,0.80521,0.72453,0.79829,1.08403,0.000217831,0.000217831,0.000217831
70,53.6203,0.58528,0.85813,1.00748,0.85029,0.94444,0.95467,0.80521,0.72453,0.79829,1.08403,0.000214138,0.000214138,0.000214138
71,54.3697,0.52706,0.6176,0.88815,0.85029,0.94444,0.95467,0.80521,0.72453,0.79829,1.08403,0.000210245,0.000210245,0.000210245
72,55.267,0.46128,0.62935,0.94436,0.94668,0.98325,0.995,0.85189,0.67692,0.67402,1.07541,0.000206152,0.000206152,0.000206152
73,56.0089,0.45509,0.56044,0.86778,0.94668,0.98325,0.995,0.85189,0.67692,0.67402,1.07541,0.000201859,0.000201859,0.000201859
74,56.7876,0.41724,0.61606,0.92595,0.94668,0.98325,0.995,0.85189,0.67692,0.67402,1.07541,0.000197366,0.000197366,0.000197366
75,57.5304,0.36954,0.59869,0.89108,0.94668,0.98325,0.995,0.85189,0.67692,0.67402,1.07541,0.000192674,0.000192674,0.000192674
76,58.2656,0.47071,0.59775,0.92365,0.94668,0.98325,0.995,0.85189,0.67692,0.67402,1.07541,0.000187781,0.000187781,0.000187781
77,59.0019,0.45531,0.60512,0.90457,0.94668,0.98325,0.995,0.85189,0.67692,0.67402,1.07541,0.000182689,0.000182689,0.000182689
78,59.7869,0.46927,0.61055,0.90078,0.94668,0.98325,0.995,0.85189,0.67692,0.67402,1.07541,0.000177396,0.000177396,0.000177396
